Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Cristian Terhes,CristianVTerhes,100063648702791,POLITICIAN,RO,"Cristian Terhes - Europarlamentar PNTCD, membru in Grupul ECR",2019-03-25 13:52:13,268445,397334,2023-07-08 08:48:24 EET,2023-07-08,08:48:24,Photo,"11,313",8219,767,1867,403,11,3,0,1,42,,-,0,0,0,N/A,https://www.facebook.com/100063648702791/posts/763587649106185,"Guvernul olandez a cazut noaptea trecuta, 07.07.2023, din cauza problemei migratiei. In noiembrie vor fi alegeri. Va aduc aminte ca, in urma cu cateva luni, Partidul Fermierilor a iesit pe primul loc la alegerile regionale din Olanda, luand peste 20%. Aveti aici inca o dovada a puterii oamenilor care, atunci cand se organizeaza si actioneaza, misca si schimba lucruri. In 2024 avem sansa sa-i trimitem pe neomarxistii tradatori, atat de la nivelul UE, cat si din Romania, la lada de gunoi a istoriei! Este sansa noastra la libertate! Fotografia e din Amsterdam, 02.01.2022, cand zeci de mii de oameni au protestat pentru libertate. https://m.facebook.com/story.php?story_fbid=966336350657752&id=340832756541451",https://www.facebook.com/photo.php?fbid=763587625772854&set=a.332974835500804&type=3,,,,,,,,"11,313",1.85
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,406024,664678,2023-07-07 18:02:24 EET,2023-07-07,18:02:24,Live Video Complete,"4,978",1989,1456,1031,405,11,2,44,14,26,owned,Yes,22700,26939,0,01:07:30,https://www.facebook.com/100044414259997/posts/787299742881876,"CE A AJUNS ROMANIA!!! AZILELE-LAGAR DIN VOLUNTARI, TORTURA, FURT, CORUPTIE, HOTIE, PROSTITUTIE, BANII LUATI DE LA BATRANI ... DATI LA LAUTARI!!! LE LUAU SI BANII DIN CARDURI SI APARTAMENTELE!",https://www.facebook.com/LuisLazarusZeusTV/videos/787299742881876/,,,"CE A AJUNS ROMANIA!!! AZILELE-LAGAR DIN VOLUNTARI, TORTURA, FURT, CORUPTIE, HOTIE, PROSTITUTIE, BANII LUATI DE LA BATRANI ... DATI LA LAUTARI!!! LE LUAU SI BANII DIN CARDURI SI APARTAMENTELE!",,,,,"4,978",-2.17
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,406148,664797,2023-07-09 14:30:43 EET,2023-07-09,14:30:43,Photo,"4,841",3551,772,21,453,5,13,1,2,23,,-,0,0,0,N/A,https://www.facebook.com/100044414259997/posts/824997098990758,Daaaa … ce te uiți așa la mine? 🤔😉😏,https://www.facebook.com/photo.php?fbid=824996785657456&set=a.259725005517973&type=3,,,,,,,,"4,841",-2.82
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,141587,158765,2023-07-07 07:13:13 EET,2023-07-07,07:13:13,Status,"4,719",3874,102,672,29,10,3,16,11,2,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/293513533249861,"Așa cum am anticipat, cele 19 bănci sancționate de ANPC pentru practici comerciale incorecte au început să obțină suspendarea ordinelor de încetare. Inclusiv Raiffeisen a primit acest nemeritat premiu de la Cap București. Faptul că s-a obținut suspendarea nu înseamnă că ANPC ar fi pierdut deja procesul, ci doar că măsurile dispuse (refacerea graficelor de rambursare, restituirea unor sume de bani) se amână pâna la soluționarea definitivă a fondului. Asta poate însemna 6 ani - așa s-a întâmplat și în cazul #raiffeisenleaks, unde, alături de ANPC, am obținut obligarea băncii la restituirea către 9200 de consumatori a sumei de 23 de milioane de euro, cu titlul de plăți nedatorate. Având în vedere angajarea celor mai scumpe și intimidante case de avocatură și susținerea pe față a celor 19 bănci delincvente de către toată presa miluită și de către BNR, nu ar fi rău să faceți intervenții în favoarea ANPC în aceste procese. În definitiv, măsurile luate de ANPC și suspendate de justiția independentă sunt în favoarea voastră, cei peste 1 milion de consumatori cu credite mai vechi de 10 ani și cu rate de două ori mai mari decât normalul și naturalul și cu imputații ale plăților aproape exclusiv pe dobânzi (cu consecința că 10 ani nu plătiți nimic din credit, adică din principal). În definitiv, este vorba de înșelăciune la cântar. Dacă un piețar v-ar vinde 750 de gr de roșii sub cuvânt că vă dă un chil de roșii, nu v-ați revolta? De ce nu vă revoltă și când băncile vă fură la fel, dar mai cu ștaif? Motivațiile juridice și sociologice ale unor asemenea intervenții le găsiți aici, pe această pagină. Hai Liberare!",,,,,,,,,"4,719",3.68
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,141587,158765,2023-07-07 11:31:50 EET,2023-07-07,11:31:50,Photo,"4,637",4234,201,11,78,28,77,0,0,8,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/293617359906145,Still alive…,https://www.facebook.com/photo.php?fbid=293617323239482&set=a.161432573124625&type=3,,,Photos from Gheorghe Piperea's post,,,,,"4,637",2.08
Cristian Terhes,CristianVTerhes,100063648702791,POLITICIAN,RO,"Cristian Terhes - Europarlamentar PNTCD, membru in Grupul ECR",2019-03-25 13:52:13,268506,397391,2023-07-09 20:05:29 EET,2023-07-09,20:05:29,Photo,"4,075",1446,627,646,14,125,49,362,799,7,,-,0,0,0,N/A,https://www.facebook.com/100063648702791/posts/764720378992912,"Un barbat ce se pretinde femeie a castigat Miss Olanda, in aplauzele si zambetele concurentelor femei. Cand se vor trezi femeile sa constientizeze ca sunt supuse de catre stanga neomarxista la cel mai puternic atac, care le submineaza drepturile si identitatea? Trebuie sa ne protejam copiii si nepotii de acesti extremisti care sustin asa ceva in societate ca fiind normalitate.",https://www.facebook.com/photo.php?fbid=764719302326353&set=a.332974838834137&type=3,,,,,,,,"4,075",-1.49
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,141602,158771,2023-07-09 11:40:11 EET,2023-07-09,11:40:11,Status,"3,919",3336,194,330,24,3,28,2,0,2,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/294889053112309,"Clișeu idiot la teve, la știri: “am vorbit cu bunicii și mi-au spus că ei nu au mai văzut niciodată o așa viitură”… Pont pentru reporterii de senzație: citiți “umpic” despre inundațiile din primăvara-vara anului 1970, când Dunărea aproape că a înghițit orașele riverane. Poate scăpați, astfel, de obsesia și credința irațională în claimătceingi.",,,,,,,,,"3,919",3.31
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200603,454315,2023-07-07 01:13:48 EET,2023-07-07,01:13:48,Native Video,"3,576",1835,128,725,75,3,2,756,2,50,share,No,0,2378240,0,00:00:22,https://www.facebook.com/100064686406556/posts/668168878682653,,https://www.facebook.com/reel/960373145204375/,,,Kovacs Valer,Asociatia MGM Kovacs Valer Valer Kovacs Politistii au umor Dani Cek Daniel Zontea Robert Popa Tavi Perțea VLOG Nic Mozambic #romaniamea #politia #politiarutiera #politistipeviata #romania,,,,"3,576",3.86
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,763151,N/A,2023-07-08 20:40:13 EET,2023-07-08,20:40:13,Photo,"3,435",2984,0,4,420,6,13,0,1,7,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2638487356303703,🤎,https://www.facebook.com/photo.php?fbid=2638487342970371&set=a.103012786517852&type=3,,,,,,,,"3,435",7.02
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,763189,N/A,2023-07-09 20:32:34 EET,2023-07-09,20:32:34,Photo,"3,014",2592,0,4,401,9,0,0,0,8,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2639753429510429,enjoy evenings….,https://www.facebook.com/photo.php?fbid=2639752689510503&set=a.103012786517852&type=3,,,,,,,,"3,014",8.79
