Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,407539,665987,2023-07-26 18:52:45 EET,2023-07-26,18:52:45,Live Video Complete,"9,629",4757,2815,1322,627,12,35,13,25,23,owned,Yes,72643,101532,0,01:32:06,https://www.facebook.com/100044414259997/posts/294416829918699,"CRISTIAN TERHES LOCUL 1 PE LISTA EURO A AUR! DESPRE RAZBOI, PLANDEMIE SI RESETAREA TOTALA!",https://www.facebook.com/LuisLazarusZeusTV/videos/294416829918699/,,,"CRISTIAN TERHES A LUAT FATA AUR! LOCUL 1 PE LISTA EURO!DESPRE RAZBOI, PLANDEMIE SI RESETAREA TOTALA!",,,,,"9,629",-1.15
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,764707,N/A,2023-07-26 00:09:15 EET,2023-07-26,00:09:15,Photo,"3,308",2751,0,102,415,1,30,0,1,8,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2657342161084889,,https://www.facebook.com/photo.php?fbid=2657341461084959&set=a.103012786517852&type=3,,"DAVID POPOVICI A AVUT NICIUN ESEC. MARS! E UN CAMPION ABSOLUT! VOI? A, TOT NIMENI! CULCATI VA!",,,,,,"3,308",5.79
Cristian Terhes,CristianVTerhes,100063648702791,POLITICIAN,RO,"Cristian Terhes - Europarlamentar PNTCD, membru in Grupul ECR",2019-03-25 13:52:13,270764,399605,2023-07-26 18:53:57 EET,2023-07-26,18:53:57,Live Video Complete,"1,846",1547,113,127,45,3,4,0,3,4,share,No,13186,101116,0,01:32:06,https://www.facebook.com/100063648702791/posts/776609971137286,,https://www.facebook.com/LuisLazarusZeusTV/videos/294416829918699/,,,Luis Lazarus-Zeus Tv,"CRISTIAN TERHES LOCUL 1 PE LISTA EURO A AUR! DESPRE RAZBOI, PLANDEMIE SI RESETAREA TOTALA!",,,,"1,846",-6.44
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,47173,67652,2023-07-26 11:59:53 EET,2023-07-26,11:59:53,Live Video Complete,"1,167",491,462,111,84,1,6,2,3,7,owned,Yes,8245,8446,0,02:00:35,https://www.facebook.com/100063623349419/posts/6931205370236533,"26.07.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/6931205370236533/,,,"26.07.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,"1,167",2.47
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8099,28149,2023-07-26 07:04:15 EET,2023-07-26,07:04:15,Photo,"1,066",776,168,19,95,0,0,0,0,8,,-,0,0,0,N/A,https://www.facebook.com/100085495329227/posts/239833205543189,Neața vouă celor care vă considerați parte a NEsupusei haiducimi și care acționați în acest spirit. Priviți cerul și mulțumiți. 💙💛❤️,https://www.facebook.com/photo.php?fbid=239833188876524&set=a.112198618306649&type=3,,,,,,,,"1,066",1.39
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,79947,89628,2023-07-26 13:42:39 EET,2023-07-26,13:42:39,Live Video Complete,667,550,15,60,38,0,0,2,1,1,share,No,4597,17610,0,01:00:21,https://www.facebook.com/100063953040074/posts/712096880932074,,https://www.facebook.com/cotidianul.bzi/videos/260997396676062/,,,BZI,"Incisivul jurnalist de investigații, Iosefina Pascal într-o nouă ediție BZI LIVE plină de dezvăluiri",,,,667,-1.15
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,79947,89628,2023-07-26 07:00:00 EET,2023-07-26,07:00:00,Live Video Complete,634,465,22,116,7,12,1,5,4,2,share,No,6821,83148,0,00:45:10,https://www.facebook.com/100063953040074/posts/711795190962243,"Neaaața cu dezvăluiri BOMBĂ la RTV, recunosc că am adus și eu o modestă contribuție 😅✌🏼! I-auziți, domn'le, ce vă spune fata voastră la finalul emisiunii despre ""bunul creștin"" Pandele. https://www.facebook.com/RomaniaTV/videos/828182631836284/",https://www.facebook.com/RomaniaTV/videos/828182631836284/,,,Romania TV,"Cea mai amplă anchetă despre cuplul Firea-Pandele. Înregistrările care vor cutremura o țară întreagă -- https://www.romaniatv.net/live
Exclusivitate: Mărturiile veciilor cuplului Firea-Pandele.
Infirmiera care a muncit la negru în azilul groazei: „Când am văzut că una din bolnave lua pâinea din tomberon… mi-a venit rău!” https://tinyurl.com/3krky9zn:=:https://www.romaniatv.net/camera-ascunsa-infirmiera-care-a-muncit-la-negru-in-azilul-groazei-cand-am-vazut-ca-una-din-bolnavele-alea-lua-painea-din-tomberon-mi-a-venit-rau_7648341.html",,,,634,-1.22
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200698,454171,2023-07-26 19:12:35 EET,2023-07-26,19:12:35,Live Video Complete,629,462,8,69,82,0,2,0,1,5,share,No,6579,33155,0,02:14:58,https://www.facebook.com/100064686406556/posts/679761287523412,,https://www.facebook.com/nasulteleviziunealibera/videos/653479753507635/,,,Să Vorbim Despre Tine,"SA VORBIM DESPRE TINE

cu Gabriela Cosmina Calitescu  & Diana Iovanovici-Sosoaca & Marius Tudor
26 iulie 2023 #NasulTv",,,,629,-1.31
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200698,454171,2023-07-26 17:00:05 EET,2023-07-26,17:00:05,Photo,596,446,36,47,61,0,2,0,0,4,,-,0,0,0,N/A,https://www.facebook.com/100064686406556/posts/679704190862455,,https://www.facebook.com/photo.php?fbid=770199898442071&set=a.342001024595296&type=3,,,Să Vorbim Despre Tine,"Editie speciala! Ora 20:00!
Să Vorbim Despre Tine
cu Gabriela Cosmina Calitescu 
Invitati: Diana Iovanovici Șoșoacă- Oficial
Marius Tudor

#NasulTv #TeleViziuneaLibera",,,,596,-1.63
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,47173,67652,2023-07-26 15:01:04 EET,2023-07-26,15:01:04,Live Video Complete,584,234,88,202,56,0,1,1,1,1,owned,Yes,2386,4068,0,00:48:47,https://www.facebook.com/100063623349419/posts/254884140637044,"26.07.2023 - ""Scamatoriile Iosefinei"" - cu Iosefina Pascal",https://www.facebook.com/radiogoldfmromania/videos/254884140637044/,,,"26.07.2023 - ""Scamatoriile Iosefinei"" - cu Iosefina Pascal",,,,,584,1.23
