Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Cristian Terhes,CristianVTerhes,100063648702791,POLITICIAN,RO,"Cristian Terhes - Europarlamentar PNTCD, membru in Grupul ECR",2019-03-25 13:52:13,272857,401535,2023-08-25 13:06:43 EET,2023-08-25,13:06:43,Live Video Complete,"54,949",31032,4790,14782,1892,679,217,733,614,210,owned,Yes,584158,702399,0,00:06:27,https://www.facebook.com/100063648702791/posts/661562125903587,Spania are un minister pentru agenda 2030 (agenda globalista si anti-umanista),https://www.facebook.com/CristianVTerhes/videos/661562125903587/,,,,,,,,4.62
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,35783,86383,2023-08-27 11:07:23 EET,2023-08-27,11:07:23,Native Video,"51,278",30943,3949,12044,285,57,44,3411,493,52,owned,Yes,420270,485973,0,00:03:45,https://www.facebook.com/100063550934191/posts/794468046014886,ATENȚIE! Pentru cei care își bat joc de țara asta de peste 30 de ani! Unde se duc banii pe care îi dăm în fiecare lună la stat?!,https://www.facebook.com/bistriceanudragos/videos/987354185906143/,,,MESAJ PENTRU ÎMBUIBAȚII DE LA PUTERE,,,,,9.62
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,410111,668117,2023-08-27 15:04:49 EET,2023-08-27,15:04:49,Live Video Complete,"20,121",7923,5387,4798,1764,15,11,89,28,106,owned,Yes,76910,102640,0,02:26:09,https://www.facebook.com/100044414259997/posts/6563849480341195,"DIANA SOSOACA, LIVE, REVOLTATA DIN CAUZA DEFLAGRATIEI INGROZITOARE IN URMA CAREIA SUNT ZECI DE OAMENI RANITI SI DOI MORTI !!!",https://www.facebook.com/LuisLazarusZeusTV/videos/6563849480341195/,,,"DIANA SOSOACA, LIVE, REVOLTATA DIN CAUZA DEFLAGRATIEI IN URMA CAREIA SUNT ZECI DE OAMENI RANITI !!!",,,,,1.83
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,409936,667964,2023-08-26 10:59:00 EET,2023-08-26,10:59:00,Live Video Complete,"17,328",7515,4031,4600,1044,11,10,49,18,50,owned,Yes,100402,122650,0,01:54:36,https://www.facebook.com/100044414259997/posts/664309898718087,"VALER KOVACS, politistul patriot si LAURENTIU PRIMO despre tragediile din romania si de ce este CORUPT SISTEMUL!",https://www.facebook.com/LuisLazarusZeusTV/videos/664309898718087/,,,VALER KOVACS si LAURENTIU PRIMO despre tragediile din romania si de ce este CORUPT SISTEMUL!,,,,,1.52
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,81224,90976,2023-08-27 00:17:02 EET,2023-08-27,00:17:02,Live Video Complete,"12,349",7421,1333,2524,790,53,16,123,41,48,owned,Yes,135006,160220,0,00:30:08,https://www.facebook.com/100063953040074/posts/1499385130885927,"BOMBĂ cu ceas și la Caracal! Dezvăluiri grave despre ÎNCĂ O STAȚIE GPL a aceluiași proprietar care a fost ""închisă"" - cum a fost mușamalizat de Arahat. Băieții deștepți și Arahat sunt niște criminali! Și vă prezint încă un băiat deștept care a primit autorizație ilegală pentru benzinăria lui! Totul e posibil în România!!",https://www.facebook.com/IosefinaIosefinaPascal/videos/1499385130885927/,,,,,,,,22.01
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,142948,160171,2023-08-24 06:12:26 EET,2023-08-24,06:12:26,Status,"3,912",3007,110,664,28,10,34,49,1,9,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/318925467375334,"Cică Napoleon ar fi zis: Istoria este un set de minciuni asupra cărora s-a căzut de acord. Azi, există științe oficiale compuse din “adevăruri” asupra cărora există consens “științific”. Virusologia, evoluționismul și climatologia se regăsesc printre aceste științe consensuale. Ele se compun aproape exclusiv din probabilități, ghiceli norocoase, euristici (oligo-rațiuni, judecăți prescurtate), bias—uri cognitive și credințe de esență pseudo-religioasă. Setul de postulate, versete și incantații ale acestor științe consensuale este ermetic închis și păzit milităros. Reacțiile enoriașilor sunt permanent purificate de verificatorii faptelor, bine stipendiați de Ministerul Adevărului. Ereticii, arși pe rugul digital. Negaționiști, excomunicați, aruncați extra muros. Profeții “științei” consensuale sunt protejați ca niște moaște sfinte, chiar și în contra propriilor prostii și alterații ale dreptei căi științifice. Preoții, infailibili, cam ca Papa de la Roma. Asemenea “științe” care se dotează cu păstrători ai misterelor sunt sperietori fals religioase, cu efect de amplificare a anxietăților colective, fără nicio legătură cu rezerva carteziană sau cu calmul rațional al celui știe. Sunt doar ideologii și surse de putere și de bani. Nu mai e de mirare că lumea de azi a devenit, pe această cale, o lume în regres cognitiv, aptă să se supună unor mediocrități intelectuale. O lume centrată pe hedonism, unde ocupația de bază va fi, curând, drogul și jocul digital în lumi simulate (apud Y. N. Harari). Dacă realmente ne-ar da târcoale vreo specie extraterestră invadatoare, ar fi extrem de simplu și rapid să ne transforme într-o planetă de sclavi dispuși la euthanasiere de frica unui guturai și a schimbării climaterice sau pentru un blid suplimentar de lăptic de gândac de bucătărie.",,,,,,,,,2.23
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8385,28724,2023-08-26 13:32:34 EET,2023-08-26,13:32:34,Native Video,"1,587",1097,196,158,120,4,2,4,0,6,owned,Yes,6182,7088,0,00:01:11,https://www.facebook.com/100085495329227/posts/256236513902858,"În acest weekend voi participa la turneul Patrioți în Europa, un program care cuprinde întâlniri cu patrioții români din următoarele orașe: ⭕️ sâmbătă, 26 aug 2023, 11:00 - Viena - Schonnbrunn ⭕️ sâmbătă, 26 aug 2023, 19:00 - Munchen - Munchner St. 79 ⭕️ duminică, 27 aug 2023, 16:30 - Milano - Cologno Monzese via Roma 153 Audiența Aurelian Live 6 are peste 30% persoane din afara granițelor țării. Nădajduiesc că ne vom vedea într-un număr cât mai mare, în weekendul 26-27 august 2023. 💙💛❤️",https://www.facebook.com/100085495329227/videos/622266276717708/,,,"Patrioți în Europa - Viena, 26 august 2023",,,,,1.36
Cristian Terhes,CristianVTerhes,100063648702791,POLITICIAN,RO,"Cristian Terhes - Europarlamentar PNTCD, membru in Grupul ECR",2019-03-25 13:52:13,273249,401922,2023-08-26 10:24:30 EET,2023-08-26,10:24:30,Photo,"1,378",365,353,364,2,43,102,37,106,6,,-,0,0,0,N/A,https://www.facebook.com/100063648702791/posts/797710172360599,"O noua varianta de COVID ar putea provova infectarea persoanelor vaccinate, anunta CDC din SUA, citat de Reuters. Link mai jos: https://www.reuters.com/business/healthcare-pharmaceuticals/us-cdc-says-ba286-covid-variant-could-cause-infections-vaccinated-individuals-2023-08-23/",https://www.facebook.com/photo.php?fbid=797710145693935&set=a.332974835500804&type=3,,"REUTERS My View Following Saved Public Health Healthcare & Pharmaceuticals COVID-19 US CDC says new COVID lineage could cause infections in vaccinated individuals Reuters August 23, 2023 6:06 PM GMT+2 Updated 3 days ago ព Aa 거",,,,,,-4.26
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,47740,68151,2023-08-24 11:59:57 EET,2023-08-24,11:59:57,Live Video Complete,"1,256",528,526,78,100,0,5,2,3,14,owned,Yes,8719,8838,0,02:19:15,https://www.facebook.com/100063623349419/posts/2235855889944101,"24.08.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/2235855889944101/,,,"24.08.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,2.43
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,81224,90976,2023-08-26 20:48:44 EET,2023-08-26,20:48:44,Native Video,"1,002",496,96,189,3,58,6,123,25,6,owned,Yes,34334,35119,0,00:00:11,https://www.facebook.com/100063953040074/posts/734238345384594,"Ce e asta?? Pare că e ceva chimicală! Am văzut că sunt acolo două autospeciale CBRN, adică pentru decontaminare CHIMICĂ și biologică. Iar autoritățile le spun oamenilor să-și închidă geamurile pe o rază de câțiva km. Arahat nu zice nimic, a venit doar la poze după explozii! De ce? Ce se ascunde?? Unde sunt spitalele mobile de terapie intensivă ale lui Arahat? Unde sunt autospecialele alea de stingere a incendiilor sute de milioane de euro? Unde sunt izoletele care puteau fi folosite acum? De ce nu a fost arestat și interogat deja patronul stației GPL care funcționa ilegal?",https://www.facebook.com/IosefinaIosefinaPascal/videos/848332083324905/,,,,,,,,-1.78
