Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,408002,666337,2023-08-04 14:48:02 EET,2023-08-04,14:48:02,Live Video Complete,"12,739",4894,1384,5437,918,23,20,16,14,33,owned,Yes,79483,97828,0,00:56:53,https://www.facebook.com/100044414259997/posts/844292086716618,"DIANA SOSOACA - ATENTIUNE, DEZBATERE PERICULOS DE ADEVARATA! NU VETI GASI NICIUNDE ACESTE ADEVARURI DUREROASE, SPUSE DE INVITATI SPECIALI DIN EUROPA SI CHIAR USA! LARRY C. JOHNSON, FOST ANALIST CIA SI EXPERT IN SECURITATE, GEORGE GALLOWAY,LIDER AL PARTIDULUI LABURIST DIN MAREA BRITANIE, DOUGLAS MACGREGOR, FOST CONSILIER AL DEPARTAMENTULUI DE APARARE AL SUA, CHRIS WILLIAMSON, FOST DEPUTAT SI MINISTRU IN ""GUVERNUL DIN UMBRA"", LIDER AL MISCARII DE REZISTENTA SI MEMBRU AL PARTIDULUI LABURIST DIN UK!",https://www.facebook.com/LuisLazarusZeusTV/videos/844292086716618/,,,"DIANA SOSOACA - ATENTIUNE, DEZBATERE PERICULOS DE ADEVARATA! NU VETI GASI NICIUNDE ACESTE ADEVARURI DUREROASE, SPUSE DE INVITATI SPECIALI DIN EUROPA SI CHIAR USA! LARRY C. JOHNSON, FOST ANALIST  CIA SI EXPERT IN SECURITATE, GEORGE GALLOWAY,LIDER AL P",,,,,"12,739",1.15
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,408063,666386,2023-08-05 20:44:31 EET,2023-08-05,20:44:31,Live Video Complete,"8,731",4110,1123,2425,1017,11,4,5,6,30,owned,Yes,54563,61104,0,00:57:54,https://www.facebook.com/100044414259997/posts/216547704335253,"DIANA SOSOACA SI MARELE NOSTRU ISTORIC, GICA MANOLE, EXPLICA MECANISMELE ASCUNDERII SI MISTIFICARII ADEVARURILOR ISTORICE! DESPRE RAZBOAIE, EROI SI CUM IESIM DIN NENOROCIRILE IN CARE NE-AU INTRODUS POLITICIENII INCOMPETENTI SI ANALFABETI!",https://www.facebook.com/LuisLazarusZeusTV/videos/216547704335253/,,,"DIANA SOSOACA SI MARELE NOSTRU ISTORIC, GICA MANOLE, EXPLICA MECANISMELE ASCUNDERII SI MISTIFICARII ADEVARURILOR ISTORICE! DESPRE RAZBOAIE, EROI SI CUM IESIM DIN NENOROCIRILE IN CARE NE-AU INTRODUS POLITICIENII INCOMPETENTI SI ANALFABETI!",,,,,"8,731",-1.26
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,407949,666299,2023-08-03 20:23:10 EET,2023-08-03,20:23:10,Photo,"7,735",5814,1012,65,792,3,4,0,1,44,,-,0,0,0,N/A,https://www.facebook.com/100044414259997/posts/837306974426437,Salutări din Serbia ! Croaziere Delta și Dunăre,https://www.facebook.com/photo.php?fbid=837306691093132&set=a.259725005517973&type=3,,,,,,,,"7,735",-2.09
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,34104,79588,2023-08-03 11:49:32 EET,2023-08-03,11:49:32,Native Video,"5,053",1947,740,1493,21,69,65,189,515,14,owned,Yes,32055,37891,0,00:01:54,https://www.facebook.com/100063550934191/posts/779032374225120,ATENȚIE! NE ANUNȚĂ CĂ VINE UN NOUL VAL COVID. Mai ține vrăjeala?!,https://www.facebook.com/bistriceanudragos/videos/759552979511472/,,,CE NE PREGĂTESC?! NOUL VAL COVID ANUNȚAT,,,,,"5,053",-1.33
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,80482,90177,2023-08-04 19:35:07 EET,2023-08-04,19:35:07,Live Video Complete,"4,399",2557,366,1039,377,17,1,20,6,16,owned,Yes,18942,25473,0,00:36:47,https://www.facebook.com/100063953040074/posts/1002003781155603,,https://www.facebook.com/IosefinaIosefinaPascal/videos/1002001904489124/,,,,,,,,"4,399",6.84
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,49874,102984,2023-08-05 13:11:26 EET,2023-08-05,13:11:26,Status,"3,742",1495,186,1020,4,56,638,293,33,17,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/613775567409230,"GLUMA ZILEI (amară) - Salut, Pizza Hut? - Nu, Google Pizza. - Ahh, îmi pare rău ... am sunat la un număr greșit ... - Nu, ați sunat bine. Google a cumparat lanțul de pizzerii Pizza Hut. - Aa, ok ... atunci să vă spun ce vreau să comand ... - Comanda obișnuită? - Și de unde știi tu ce vreau eu să comand? - Ținând cont de adresa dumneavoastră, numarul de telefon și ultimele 12 comenzi, acestea au fost Pizza Supremă. - Da, așa e. Vreau o Pizza Supremă! - Aș putea sugera o pizza fără sare, cu rucola, brocoli și roșii uscate? - Nuu! Urăsc legumele. - Dar nivelul dumneavoastră de colesterol este cam ridicat. - De unde știi tu asta? - Am verificat ultimele dumneavoastră rezultate de la testele de sânge efectuate la SINEVO și conform rezultatelor aveți colesterolul ridicat ... - Gata! De ajuns! Vreau o pizza Supremă! Am medicamente pentru colesterol ridicat! - Ne pare rău dar conform bazei noastre de date, nu luați medicamentele regulat. Ultima cutie de SORTIS cu 30 de tablete pe care ați cumpărat-o de la Farmaciile DONA a fost pe 2 ianuarie la ora 3:26 p.m. - Am cumparat de la alta farmacie! - Din extrasul de cont de la ING nu rezultă că ați cumpărat alt medicament pentru colesterol de la altă farmacie. - Am plătit cash, am și alte surse de venit! - Din ultimele declarații de venit, nu rezultă acest lucru. Ne pare rău dar nu vrem să aveți probleme cu cei de la ANAF. - Bine, nu mai vreau nimic! - Domnule, noi doar încercam să vă ajutăm. - Să mă ajutați? M-am săturat de Google, Facebook, Whats App sau Instagram! O să mă mut pe o insulă pustie, fără acces la internet, cablu sau telefonie! - Am înțeles domnule, dar se pare ca pașaportul dumneavoastră a expirat acum 5 luni. 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️",,,,,,,,,"3,742",9.72
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200769,454187,2023-08-03 16:45:28 EET,2023-08-03,16:45:28,Native Video,"3,551",2494,290,401,343,0,9,1,2,11,share,No,17084,50610,0,00:01:25,https://www.facebook.com/100064686406556/posts/684244497075091,,https://www.facebook.com/diana.macovei1/videos/245028395111807/,,,Diana,"TOTI AVEM OBLIGATII FAȚĂ DE ROMÂNIA!
ALEGERILE DIN 2024 SUNT DEFINITORII PT VIITORUL ROMÂNIEI: VOTAȚI S.O.S. ROMÂNIA SI DIANA IOVANOVICI-ȘOȘOACĂ SAU S-A TERMINAT CU ROMÂNIA!
ATENȚIE LA VOT!",,,,"3,551",3.52
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,765484,N/A,2023-08-04 22:00:22 EET,2023-08-04,22:00:22,Photo,"2,857",2317,0,12,498,9,13,0,0,8,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2668873849931720,👩🏾,https://www.facebook.com/photo.php?fbid=2668873829931722&set=a.103012786517852&type=3,,,,,,,,"2,857",4.46
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,765484,N/A,2023-08-04 18:57:59 EET,2023-08-04,18:57:59,Photo,"2,579",1763,0,10,213,7,573,0,0,13,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2668742153278223,"ce o mai face, ma, Rafila? tot nimic?",https://www.facebook.com/photo.php?fbid=2668742099944895&set=a.103012786517852&type=3,,,,,,,,"2,579",4.03
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200801,454202,2023-08-05 18:43:26 EET,2023-08-05,18:43:26,Native Video,"2,539",1348,135,830,164,12,7,16,12,15,owned,Yes,9401,11863,0,00:04:33,https://www.facebook.com/100064686406556/posts/685430286956512,Vaccinarea obligatorie se întoarce...,https://www.facebook.com/DianaSosoacaOficial/videos/311577851230289/,,,,,,,,"2,539",2.71
