Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,414537,672374,2023-08-31 21:19:34 EET,2023-08-31,21:19:34,Live Video Complete,"61,029",22059,6229,25371,2323,352,144,4070,270,211,owned,Yes,620826,1085100,0,01:15:11,https://www.facebook.com/100044414259997/posts/1731083224003744,"DIANA SOSOACA LA FATA LOCULUI, IN EPICENTRUL EXPLOZIEI! FITI PE FAZA CE A DESCOPERIT ACOLO SI CE SPUN OAMENII!",https://www.facebook.com/LuisLazarusZeusTV/videos/1731083224003744/,,,DIANA SOSOACA IN EPICENTRUL EXPLOZIEI! FITI PE FAZA CE A DESCOPERIT ACOLO SI CE SPUN OAMENII!,,,,,4.99
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,201274,454323,2023-09-03 19:28:52 EET,2023-09-03,19:28:52,Live Video Complete,"14,206",3991,3811,4628,1645,13,9,33,9,67,crosspost,Yes,32697,46097,98854,02:18:39,https://www.facebook.com/100064686406556/posts/315653427617924,"MUȘAMALIZAREA EXPLOZIILOR DE LA CREVEDIA DE CĂTRE COMANDANTUL ACȚIUNII, RAED ARAFAT! EINE DOBITOKEN! IA LABELE DE PE POMPIERI!",https://www.facebook.com/DianaSosoacaOficial/videos/315653427617924/,,,,,,,,17.98
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,36246,88842,2023-08-31 12:25:54 EET,2023-08-31,12:25:54,Native Video,"11,542",5545,1026,3380,40,133,70,376,945,27,owned,Yes,83571,103105,0,00:02:36,https://www.facebook.com/100063550934191/posts/797072225754468,ATENȚIE! A revenit carcalacul la partenerii strategici. Reincepe nebunia și la noi?!,https://www.facebook.com/bistriceanudragos/videos/688905085987922/,,,MAI ȚINE VRĂJEALA?,,,,,1.62
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143233,160467,2023-09-03 11:12:07 EET,2023-09-03,11:12:07,Native Video,"9,835",7338,271,1994,49,29,33,80,23,18,owned,Yes,86239,96368,0,00:02:31,https://www.facebook.com/100077736491457/posts/324212500179964,"Țara te vrea bolnav. Cel mai “bine” e când ești asimptomatic. Țara te vrea supus, fricos și prost (vorba cântecului). Cel mai bine e când ești tatuat mental.",https://www.facebook.com/gheorghe.piperea/videos/136091092905210/,,,,,,,,6.82
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,83894,93770,2023-09-01 21:02:10 EET,2023-09-01,21:02:10,Live Video Complete,"8,630",5182,801,1746,797,21,11,16,13,43,owned,Yes,59168,71175,0,00:57:27,https://www.facebook.com/100063953040074/posts/1077675200077742,#LiveNow #fyp,https://www.facebook.com/IosefinaIosefinaPascal/videos/1077675200077742/,,,,,,,,14.91
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50268,104905,2023-08-31 09:25:05 EET,2023-08-31,09:25:05,Photo,"5,566",2625,298,2431,19,11,42,85,52,3,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/625526532900800,,https://www.facebook.com/photo.php?fbid=625526516234135&set=a.384763180310471&type=3,,"‎'‎Ceaușescu a luat 10 miliarde de dolari Și a făcut 2.000 de uzine, Cîțu a luat 30 de miliarde de euro euro ل TikTok Și a făcut prăpăd. hel.vasilica4‎'‎",,,,,,8.08
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,83370,93220,2023-08-31 16:26:20 EET,2023-08-31,16:26:20,Native Video,"1,716",985,85,417,17,21,2,25,159,5,owned,Yes,12725,17959,0,00:07:26,https://www.facebook.com/100063953040074/posts/737428295065599,"Cum comentați asemenea decizie aberantă?? Când vor răspunde magistrații pentru aceste nenorociri? Atâta timp cât justiția este profund coruptă și incompetentă, statul va rămâne unul eșuat.",https://www.facebook.com/IosefinaIosefinaPascal/videos/7124461767566296/,,,,,,,,-1.11
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8433,28794,2023-08-31 19:09:47 EET,2023-08-31,19:09:47,Native Video,"1,489",914,297,157,103,4,5,4,1,4,owned,Yes,7654,8476,0,00:14:20,https://www.facebook.com/100085495329227/posts/259005396959303,"V-am promis în pLandemie, la prosteste, ca voi duce eșarfa tricoloră și în studiourile Digi? V-am promis! Azi am îndeplinit și această promisiune făcută haiducimii NEsupuse. 💙💛❤️ *** Aurelian.RO@Digi - Studio Politic - 31 aug 2023 Decupaj cu intervențiile mele din emisiunea de azi (15:00), de la Digi - Studio Politic A fost suficient să spun TOXIC în ac frază cu PNRR și le-am explodat zenu’. ROG feedback onest și CONSTRUCTIV. (șterg tot ce e în afara cererii de mai sus) Moderatori: Adriana Dumitrescu, Robert Kiss *** PS. Doi sau trei dintre voi ați pierdut pariul cu mine, azi.",https://www.facebook.com/100085495329227/videos/1546844189183893/,,,Aurelian.RO@Digi - Studio Politic - 31 aug 2023,,,,,1.13
Cezar Ionascu,CezarIonascuRO,100066813237286,ACTIVITY_GENERAL,RO,koji.to/@cezarionascu,2017-10-17 23:44:42,65322,151446,2023-08-31 07:45:24 EET,2023-08-31,07:45:24,Photo,"1,448",1219,50,37,135,1,0,0,0,6,,-,0,0,0,N/A,https://www.facebook.com/100066813237286/posts/640393644864404,,https://www.facebook.com/photo.php?fbid=7101173033249727&set=p.7101173033249727&type=3,,,Cezar,"Athos este diferit de fiecare data. Cu fiecare noua calatorie, realizezi ca “…dar eu am fost la Athos, stiu cum e…” este doar zgarierea la suprafata a unei profunzimi cum rar mi-a fost dat sa vad. Am mai spus-o, o mai spun: relevant este cu cine mergi in Athos, nu ca mergi in Athos.
 
Am urcat in Sfantul Munte a 5-a oara in acest an. Pur si simplu ma cheama la el. Ca sa asist la priveghiul prilejuit de sarbatoarea Adormirii Maicii Domnului. Ca sa vad Muntele in liniste totala si odihna a doua zi dupa aceasta fastuoasa sarbatoare – sunt, totusi, zilele de doliu purtat in cinstea celei ce este Maica Domnului, patroana spirituala a acestui spatiu. 
 
Ca sa vad ce inseamna procesiunea primirii oficiale a episcopului orthodox al Australiei de catre Efrem, staretul din Vatopedi – cu nimic diferit de o intalnire oficiala, de stat, la cel mai inalt nivel diplomatic – cu discursuri, imbratisari, tinute de gala, reverente si cadouri. Cu multa insemnatate pentru mine si pentru cei din grupul alaturi de care am calatorit.
 
In plus, cuvant de intelepciune dinspre parinti duhovnici, sub forma de avertisment in fata eviscerarii de Dumnezeu a trupurilor, mai ales a celor tinere: “…asta vor, sa-l scoata pe Dumnezeu din oameni, mai ales din cei tineri, din copii. Si dupa ce il scot, sa faca ce vor cu acel trup si cu acea minte. Caci un trup fara Dumnezeu e NIMIC. Si cu un nimic faci ce vrei tu….”. Si multe altele asemenea.
 
Fireste, am muncit, am reparat ce era de reparat si am sadit noi seminte. Dar cel mai mult am credinta ca ne-am mai reparat un pic pe noi. Ca sa venim mai tari, mai puternici si mai induhovniciti inapoi in lume.
 
Urmatoarea calatorie incepe in Athos pe 10 septembrie. Vino si tu! Ai link de inscriere in grupul meu in comentarii.

Fotografii: Sergiu Cumatrenco. Multumesc, Sergiu drag!",,,,4.36
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143195,160423,2023-09-01 06:00:16 EET,2023-09-01,06:00:16,Status,"1,418",1030,52,233,4,3,1,90,2,3,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/322586413675906,"Episodul III Dacă se desfășoară doar în cerc închis, de la o funcție birocratică la alta și de la un post de vătaf sau altul, circulația elitelor nu este nimic altceva decât dovada și explicația statului profund, paralel dinamicii sociale și politice. Circulația de tip revolving door a elitelor este proba separării societății într-o clasă foarte restrânsă de privilegiați și rentieri, pe de o parte, și restul populației, pe de altă parte, egală în sărăcie și în lipsa de șanse și permanent supusă controlului și supravegherii elitelor. Orice orânduire socială respectă acest model – de la sclavagism, la feudalism, la fascism/nazism și la comunism, până la actuala „ordine mondială liberală bazată pe reguli”. Populația non-elitistă este peste tot și mereu egală în dreptul de a căuta o viață întreagă plăcerea ieftină și de a evita cu insucces durerea și suferința, ipotecându-și forța de muncă, destinul și, mai nou, părți din corp sau ani de tinerețe – ambele „libertăți” fiind cu cinism exploatate de elitele ne-mandatate ale sistemului în propriul profit. Globalismul ca ideologie și tip de organizare socială este, pur și simplu, rezultatul unei asemenea contra-selecții a elitelor. Plecând de la mitul fals al intențiilor benevolente și al rezervorului de competențe înalte de care ar dispune, se consideră că organizațiile globale sunt cele mai potrivite pentru a se ocupa de marile probleme globale ale omenirii. În afară de răspunsul mereu inadecvat la problemele concrete ale unei comunități sau națiuni, organizațiile globale au și marele defect că nu sunt mereu compuse din înzestrați și merituoși, ci și din mulți impostori, din purtători ai unor etichete de false competențe și mincinoase specializări, din politicieni fără har și onestitate, din persoane aflate în conflicte de interese și din exponenți ai neomedievalilor care dețin puterea economică și controlul resurselor, care ghidonează, direct sau indirect (prin ONG – uri militante, de exemplu) organizațiile globale. În plus, multe crize globale sunt inventate, pentru a crea dușmani globali și, deci, nevoia de salvatori globali, iar cele mai grave crize sunt cauzate de prostia liderilor sau a influencerilor globali. În timp ce lumea se afundă în tiranie, război „sustenabil”, foamete și penurie de apă, giga-companiile de tehnologia informației au făcut din vânătoarea de „știri false” și din „diversitatea sexuală” principalele „valori ale comunității”. Google are lichidități de 120 de miliarde de dolari cu care nu știe ce să facă, pe moment – exceptând, probabil, lucrul intens la betonarea identității digitale pentru to(n)ți și la inteligența artificială (ironic, nimeni nu se preocupă de reducerea sau neutralizarea prostiei naturale ori de ruperea sforilor cu care lumea este păpușată de elite false). Facebook a aruncat pe fereastra digitală 100 de miliarde de dolari pentru a construi lumea simulată intitulată metavers - un eșec de business monstruos. Bill Gates vrea să rezolve problema sănătății celor 8 miliarde de pământeni obligându-i la injectare periodică și multiplă cu seruri „imunizatoare”, în disprețul imunității naturale. În concepția sa de expert, problema foametei globale s-ar rezolva prin carnea artificială și consumul de insecte, iar problema schimbărilor climatice s-ar rezolva cu împrăștierea de praf de cretă în atmosferă. În acest timp, Elon Musk face glume proaste și programări false ale unor lupte în cușcă împotriva lui Zuckerberg. Cam așa arată elita globală contemporană. Cam de aici vin banii și, implicit, programele de remodelare a lumii, cu care sunt alimentate organizațiile globale. Cam de aici vin vătafii cu care sunt garnisite organizațiile globale, pe posturi de experți și elite specializate în salvarea omenirii de la crizele globale, fabricate sau cauzate din prostie de tipi ca cei de mai sus. Lumea, în mod paradoxal, a ajuns să vadă refugii sau modele de urmat în regimul autoritar al lui Putin și în dictatura chinezească a lui Xi Jinping. Noul bloc economic și militar, opus Occidentului Colectiv, care este cunoscut sub acronimul BRICS, un conglomerat de state în curs de dezvoltare bazate economic pe China și militar pe Rusia, la care se adaugă resursele energetice ale Iranului și ale Arabiei Saudite (toate niște luminoase democrații, desigur ...) devine pe zi ce trece o atracție irezistibilă. Acest bloc conține deja mai mult de jumătate din statele și populația lumii. Orbiți de acest miraj, oamenii nu observă că primul stat din lume care a introdus obligativitatea „imunizării” cu serurile experimentale ale plademiei a fost Rusia și că tot Rusia a introdus pentru prima dată în lume moneda digitală a băncii centrale, care va elimina proprietatea și libertatea individului concret. Și lumea uită cine este și ce planuri totalitare de viitor are China... Nu înțelegeți greșit: important e să realizăm că nu se poate înlocui un sistem cu tendințe dictatoriale cu unul de evident totalitar. (va urma)",,,,,,,,,-1.24
