Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,424233,681700,2023-09-15 18:47:11 EET,2023-09-15,18:47:11,Live Video Complete,"14,475",3810,8932,1085,483,14,58,20,35,38,owned,Yes,86386,95435,0,03:17:13,https://www.facebook.com/100044414259997/posts/252607237745047,DEP D. COARNA SI PROFESOARA ANGHEL MARIANA DAU REPLICA AMALIEI BELLANTONI CU PRIVIRE LA ACUZATIILE ADUSE! AMALIA BELLANTONI DA REPLICA LA DREPTUL LA REPLICA! LAURENTIU PRIMO INTRA PE SCANDALUL DROGURILOR SI EXPLICA IN CE MOD FUNCTIONEAZA RETELELE!,https://www.facebook.com/LuisLazarusZeusTV/videos/252607237745047/,,,DEP D. COARNA SI PROFESOARA ANGHEL MARIANA DAU REPLICA AMALIEI BELLANTONI CU PRIVIRE LA ACUZATIILE ADUSE! AMALIA BELLANTONI DA REPLICA LA DREPTUL LA REPLICA! LAURENTIU PRIMO INTRA PE SCANDALUL DROGURILOR SI EXPLICA IN CE MOD FUNCTIONEAZA RETELELE!,,,,,1.18
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,424233,681700,2023-09-15 11:49:20 EET,2023-09-15,11:49:20,Live Video Complete,"5,745",2736,1088,1380,467,11,9,12,17,25,owned,Yes,41090,49363,0,01:45:02,https://www.facebook.com/100044414259997/posts/837911238021995,"EMISIUNEA MOMENTULUI! DIANA SOSOACA, LUIS LAZARUS, AV F. DURGHEU! MODERATOR ANCA ALEXANDRESCU! SHARE MASIV!",https://www.facebook.com/LuisLazarusZeusTV/videos/837911238021995/,,,"EMISIUNEA MOMENTULUI! DIANA SOSOACA, LUIS LAZARUS, AV F. DURGHEU! MODERATOR ANCA ALEXANDRESCU! SHARE",,,,,-2.13
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143818,161038,2023-09-16 07:12:24 EET,2023-09-16,07:12:24,Status,"3,829",3030,207,470,9,27,26,43,11,6,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/331372216130659,"“Sunt milioane de consumatori de droguri în România”. (Alina Gorghiu, Ministrul Justiției) De unde pătrund în țară atâtea cantități de droguri cât să aprovizioneze MILIOANE de consumatori? Cum de se întâmplă asta în timp ce România are 11 organisme de control al drogurilor, două parchete specializate (diicot și dna) și 7 servicii secrete? Și parcă eram pregătiți de Schengen… Păi, cum de suntem atât de elevi silitori dacă granițele sunt șvaițer la droguri ce vin de afară (că doar nu se produc aici…)? Urmează dezincriminarea?",,,,,,,,,2.17
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143775,160999,2023-09-14 14:34:32 EET,2023-09-14,14:34:32,Native Video,"3,275",2651,85,183,27,3,321,1,1,3,owned,Yes,18037,18745,0,00:00:11,https://www.facebook.com/100077736491457/posts/330367692897778,"Urmărim să nu fim urmăriți… pardon, să fim urmăriți!",https://www.facebook.com/gheorghe.piperea/videos/258825863789627/,,,,,,,,1.99
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,201775,454642,2023-09-15 13:39:52 EET,2023-09-15,13:39:52,Native Video,"1,392",833,53,313,176,1,10,0,1,5,owned,Yes,6398,8019,0,00:02:36,https://www.facebook.com/100064686406556/posts/709617191204488,KOSOVO E SERBIA! Felicit suporterii români pentru mesajul lor!,https://www.facebook.com/DianaSosoacaOficial/videos/862116065063729/,,,,,,,,1.43
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8520,28966,2023-09-14 16:31:28 EET,2023-09-14,16:31:28,Live Video Complete,"1,321",756,242,205,107,3,1,2,0,5,owned,Yes,8138,8892,0,01:06:01,https://www.facebook.com/100085495329227/posts/1023475192172634,"Aurelian.RO@Interview with Prof Dr Mattias Desmet, author of The Psychology of Totalitarianism book. 14 sep 2023",https://www.facebook.com/100085495329227/videos/1023475192172634/,,,Aurelian.RO@Interview with Prof Dr Mattias Desmet,,,,,-1.31
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143775,160999,2023-09-14 09:30:23 EET,2023-09-14,09:30:23,Status,"1,185",990,17,167,6,1,0,4,0,0,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/329884772946070,"Adevărul ca datorie și minciuna ca delict (Partea a II-a) Arthur Schopenhauer a susținut cu fermitate că „orice minciună este o injustiție, cu excepția legitimei apărări împotriva violenței și a vicleniei”, dar a reținut că există cazuri în care „avem chiar datoria de a minți” și, mai mult, că există minciuni sublime*. *Fundamentele moralei, Editura Antet, București, 2011, p.118. Într-adevăr, Codul penal român exonerează de vină penală autorul unei fapte săvârșită ca legitimă apărare a sa ori a altei persoane. Minciuni ""nobile, morale"" pot fi acelea ale medicului care ascunde bolnavului starea lui reală, a ofițerului prizonier care nu trădează secretele militare ale patriei, a duhovnicului care păstrează secretul spovedaniei. În aceste exemple nu se săvârșește nicio nedreptate, nici o trădare, nici o înjosire, ci dimpotrivă. Dar nu și în cazul în care un sistem opresiv (sau un sistem democratic pervertit) utilizează minciuna pentru scopuri politice și tiranie. André Comte-Sponville a susținut că buna credință este virtutea oamenilor care merită să fie crezuți, o virtute care ar trebui să ne dicteze faptele, cuvintele și chiar gândurile. Dar omul este acel animal care poate minți și care trebuie uneori să mintă pentru a supraviețui, pentru a salva o persoană sau pentru a se opune barbariei**. ** André Comte-Sponville, Mic tratat al marilor virtuți, Editura Univers, București, 1998, p. 216 și p. 221. Codul civil român stabilește o prezumție de bună credință, iar Codul de procedură penală și Constituția stabilesc o prezumție de nevinovăție de care trebuie să se bucure toată lumea, pentru că buna credință și bunul simț comun sunt starea normală, naturală, a omului. Este foarte grav că legi, cutume și comportamente administrative au ajuns să ne suspecteze pe toți de inversul acestor prezumții. Autoritățile publice sau mega-comercianții au creat, în epoca post-modernă, nenumărate tipuri de caziere, care stochează informații negative despre noi toți: cazier judiciar, fiscal, comercial, bancar și, mai nou, cazier digital - sanitar… Suspiciunea la adresa omului de rând este esența sistemului de credit social (rating de cetățean) care face din China cea mai implacabilă formă de totalitatism și care stârnește invidie tuturor statelor „liberale” occidentale cu tendințe totalitare. Sarcastic, cazierul de cetățean este impus de un sistem statal care s-a obișnuit să mintă „nobil” și, respectiv, de mega-comercianții care se fac vinovați crime contra umanității de încălcă ale drepturilor omului și ale libertăților cetățenești.",,,,,,,,,-1.53
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8539,28997,2023-09-16 08:36:47 EET,2023-09-16,08:36:47,Photo,"1,127",461,249,72,1,5,3,327,6,3,,-,0,0,0,N/A,https://www.facebook.com/100085495329227/posts/267218429471333,Link in comments (JOIN).,https://www.facebook.com/photo.php?fbid=267218406138002&set=a.112198618306649&type=3,,"3462 Aurelian.R -NECENZURAT 16.536 subscribers Today 25 Moartea subită nu Èine cont nici de frumusețe, nici de vârstă, nici de profesie și nici de statutul social. Sibitul ține cont de un singur criteriu. Care este el? (rog răspundeÈ›i în comentarii) 109:33 1 Comment",,,,,,1.28
Iulian Capsali,iulian.capsali,100050173613486,PERSON,RO,"Biserica, Familia şi Țara. ",2014-04-14 09:07:40,23144,26975,2023-09-16 16:34:25 EET,2023-09-16,16:34:25,Status,"1,126",822,52,181,30,3,18,12,5,3,,-,0,0,0,N/A,https://www.facebook.com/100050173613486/posts/857316412617471,"NU VĂ TEMEȚI! Transplantul de organe înseamnă hăcuirea unui om care este viu încă. Este o mare minciună că se face de la un mort. Organele unui mort nu sunt viabile! ""Moartea"" cerebrală nu este o moarte efectivă, sunt cazuri în care pacienții și-au revenit. E dovedit însă că pot înțelege ce li se întâmplă, chiar dacă funcțiile neurologice sunt căzute. Singurul transplant de organe dezirabil este acela al unei rude sau prieten care donează de bună voie un rinichi sau o parte din ficat, grefă de piele etc, pentru salvarea celui în suferință. Faptul că s-a dezvoltat o întreagă industrie criminală, inclusiv în zonele de conflict, unde prizonierii sănătoși sunt deposedați de organe (inimă, plămâni, ochi șamd), arată doar lăcomia unui sistem medical care are ca principal scop profitul cu orice preț, medicina fiind adresată din ce în ce mai mult doar celor bogați. Vedeți ce se întâmplă în Occident, unde o operație simplă a devenit prohibită pentru un om ""de rând"", și vorbim de clasa medie. Ca o concluzie, cei care atacă un preot care a sfătuit părinții să nu-și măcelărească copilul, de fapt au această viziune mecanicistă asupra vieții, complet străină de Învățătura Evangheliei și a Sfinților Părinți, în care corpul e văzut ca un depozit de ""piese"" demontabile, care pot fi luate, inclusiv cu forța, unui muribund. Nu vă lăsați influențați de demonia lumii și învățați cu toții că, indiferent de vârstă, omul poate fi luat de Dumnezeu. Moartea e o Taină. Iisus Hristos - Dumnezeul nostru, ne-a arătat calea spre Înviere. Nu prin prelungirea cu orice preț a vieții ne putem mântui, iar El ne ia pe toți când avem starea duhovnicească cea mai bună sau când vede că nu se mai poate face nimic. Forțarea prelungirii vieții, inclusiv prin uciderea altuia, acoperiți fiind de ""știință"" (care am văzut unde ne-a dus pe toți în ultimii ani) e de la diavol, nu va fi niciodată o viziune creștină. Toți vom muri - asta este singura certitudine pe care o avem. Să fim pregătiți duhovnicește cu sufletul care e Veșnic, nu cu ""piese"" de schimb ale altor muritori. Trupul este Templul Duhului Sfânt, iar cel curățat de păcate ne va fi dat la Parusie. Cei care instrumentalizează cazul bietului tânăr a cărui familie a refuzat să-i fie ciopârțit trupul sunt aceiași dușmani ai Bisericii, nu e nimic nou. Noi trebuie să ne ridicăm și să apărăm doar Adevărul, fiind conștienți că suntem contra duhului acestei lumi, deci vom fi din ce în ce mai puțini. Însă Hristos ne îndeamnă mereu în Evanghelii să ne bucurăm și să nu ne temem!",,,,,,,,,1.96
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,201775,454642,2023-09-15 19:34:27 EET,2023-09-15,19:34:27,Native Video,"1,000",594,43,214,134,7,3,1,0,4,owned,Yes,4944,5512,0,00:01:56,https://www.facebook.com/100064686406556/posts/709782237854650,Adevărul din spatele scandalului dronelor: cine ne vrea împinși la război,https://www.facebook.com/DianaSosoacaOficial/videos/1001435124502114/,,,,,,,,1.02
