Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,425440,682833,2023-09-20 10:11:46 EET,2023-09-20,10:11:46,Live Video Complete,"11,277",4738,3076,2449,685,80,109,39,73,28,owned,Yes,104384,112708,0,00:14:01,https://www.facebook.com/100044414259997/posts/331157045950898,DUBLU IMPACT: DIANA SOSOACA SI RODICA BOANCA VERSUS GEORGE SIMION - MEGASCANDAL IN SENAT! ACUM!,https://www.facebook.com/LuisLazarusZeusTV/videos/331157045950898/,,,DUBLU IMPACT: DIANA SOSOACA SI RODICA BOANCA VERSUS GEORGE SIMION - MEGASCANDAL IN SENAT! ACUM!,,,,,1.01
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,84924,94828,2023-09-20 23:14:28 EET,2023-09-20,23:14:28,Live Video Complete,"3,766",2097,365,959,285,10,2,25,8,15,owned,Yes,17043,19582,0,00:51:46,https://www.facebook.com/100063953040074/posts/1021196752400447,"DEZVĂLUIRI despre distrugerea portului, despre milițieni și dezaxati. Absolut sinistru!",https://www.facebook.com/IosefinaIosefinaPascal/videos/1021196752400447/,,,,,,,,10.04
Subiectiv cu Razvan Dumitrescu,Subiectiv.RazvanDumitrescu,100047456172747,JOURNALIST,RO,Pagina oficiala de facebook a emisiunii Subiectiv.,2011-09-16 12:21:08,272689,366266,2023-09-20 09:58:19 EET,2023-09-20,09:58:19,Status,"1,395",973,275,92,6,8,8,17,10,6,,-,0,0,0,N/A,https://www.facebook.com/100047456172747/posts/831752681749930,"Scriu destul de rar texte mai lungi aici dar... Ploua cu descinderi si anchete avand ca subiect drogurile. Autoritatile fac iures, cel putin asta e imaginea... Ultimul scandal suna ingrozitor: droguri vândute în dispozitive de vapat și în jeleuri. 28 de societăţi care comercializau astfel de produse la nivel naţional, profitând de faptul că dispozitivele de tip ""vape"" se pot comercializa la liber, iar jeleurile pot fi vândute oricărei persoane! Zilnic aflam cate ceva, zilnic auzim de procurori si mascati ca se ocupa iar toate astea se intampla brusc dupa nenorocirea aia cu Vlad Pascu , drogatul de 19 ani care a omorat doi studenti! A trebuit sa moara oameni la 2 MAI ca aceste autoritati sa vada? In oglinda, alt iures, cel al dronelor cazute in Romania. Nu cadeau drone pana acum nici cand ucrainienii sustineau asta. Autoritatile in frunte cu IOHANNIS negau. A vorbit PODOLIAK despre ""tacerea mieilor "" acuzand practic Romania de lasitate. Fix dupa asta, recunosc si ai nostri ca drone cad. Gasesc resturi, schimba discursul! A trebuit sa vorbeasca PODOLIAK ca sa cada si la noi DRONE? Ce se intampla oare acolo in spate? Cum si la ce ordin se trece brusc de la TACERE la IURES?",,,,,,,,,-2.15
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,48224,68590,2023-09-20 12:00:19 EET,2023-09-20,12:00:19,Live Video Complete,"1,352",561,516,151,111,1,3,1,2,6,owned,Yes,7683,7869,0,02:31:38,https://www.facebook.com/100063623349419/posts/327280673091045,"20.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/327280673091045/,,,"20.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,3.07
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143855,161071,2023-09-20 09:51:57 EET,2023-09-20,09:51:57,Status,664,487,23,62,0,8,3,77,2,2,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/333782565889624,"Eco-anxietatea este o nouă afecțiune psihică de care suferă din ce în ce mai multă lume. Patru din zece tineri nu mai vor să facă deloc copii care să trăiască într-o lume sortită pieirii din cauza “fierberii” climatice. Iată la ce sunt bune propaganda urgenței climatice și sanctificarea minciunii “nobile”. Nu mai e despre încrederea în “știință”, ci despre neîncrederea în viitorul omului ca specie.",,,,,,,,,-2.48
Adriana Bahmuteanu Official,,100044152373697,PERSON,RO,jurnalist si psiholog,2015-02-03 20:44:57,241873,291095,2023-09-20 18:07:49 EET,2023-09-20,18:07:49,Live Video Complete,515,312,28,142,25,2,1,1,1,3,owned,Yes,5296,5505,0,00:22:05,https://www.facebook.com/100044152373697/posts/6630399753706757,Ce trebuie sa știm despre contractele educationale este bine sau nu ca părinții sa semneze aceste contracte cu clauze ascunse??? Ce li se pregateste copiilor???,https://www.facebook.com/100044152373697/videos/6630399753706757/,,,Ce trebuie sa știm despre contractele educstionsle,,,,,-1.66
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,48224,68590,2023-09-20 15:00:32 EET,2023-09-20,15:00:32,Live Video Complete,450,182,84,141,41,0,0,0,0,2,owned,Yes,1964,3570,0,00:52:49,https://www.facebook.com/100063623349419/posts/840053447623341,"20.09.2023 - ""Scamatoriile Iosefinei"" - cu Iosefina Pascal",https://www.facebook.com/radiogoldfmromania/videos/840053447623341/,,,"20.09.2023 - ""Scamatoriile Iosefinei"" - cu Iosefina Pascal",,,,,1.12
ActiveNews,activenewsro,100063785333040,NEWS_SITE,RO,Follow us on https://t.me/activenewsro. ActiveNews este un site de informații și știri necenzurat,2013-10-13 22:01:30,89878,91639,2023-09-20 12:41:04 EET,2023-09-20,12:41:04,Link,381,293,15,44,22,1,4,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/100063785333040/posts/775914594544711,UN DOCTOR NORMAL: Aruncați masca la gunoi! - Dr. Dragoș Dinulescu. ILUSTRAȚIA ZILEI,https://www.activenews.ro/stiri/UN-DOCTOR-NORMAL-Aruncati-masca-la-gunoi-Dr.-Dragos-Dinulescu.-ILUSTRATIA-ZILEI-184474,,,UN DOCTOR NORMAL: Aruncați masca la gunoi! - Dr. Dragoș Dinulescu. ILUSTRAȚIA ZILEI,"Medicul Dragoș Dinulescu din Câmpina ne oferă Ilustrația Zilei: „Masca de protecție nu vă oferă nicio protecție. Dimpotrivă! Timp de 2 ani, ați fost prostiți, manipulați, ...",,,,8.11
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50570,106384,2023-09-20 14:15:02 EET,2023-09-20,14:15:02,Status,334,274,14,40,0,1,2,2,1,0,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/635016435285143,"Gușă: Nagorno-Karabah și dezghețarea conflictelor înghețate. Războiul NATO-Rusia se multiplică în Caucaz și devine sofisticat! (transcrierea editorialului vorbit din emisiunea “Ce-i în Gușă, și-n căpușă!”, de la GOLD FM) Autor: Cozmin Gușă Vă aduceți aminte, prieteni, când râdeam eu, aici, la Gold FM, de Ursula von der Leyen și Klaus Iohannis, care îi făceau temenele la București lui Aliyev, președintele Azerbaidjanului, venit alături de alți lideri pentru semnarea unui mare acord pentru un coridor de gaze către Europa, și le ziceam ironic să se uite mai bine la Aliyev, pentru că în spatele lui îl vor vedea pe Erdogan, iar în spatele lui Aliyev și Erdogan îl vor vedea chiar pe Putin și uite că se confirmă. În ultimele luni ați auzit de mai multe ori despre luptele dintre Azerbaidjan și Armenia din pricina disputării autorității asupra enclavei Nagorno-Karabah, un soi de mică republică separatistă pe teritoriul căreia se află un conflict înghețat. De ieri, însă, aceste bombardamente ale Azerbaidjanului către Nagorno-Karabah au început cu mare intensitate. Au făcut declarații recente pro-Azerbaidjan în ultima vreme mai ales liderii din Uniunea Europeană, dar și oficialii Casei Albe și ai Comisiei Europene, pe lângă declarațiile publice ale președinților Armeniei și Azerbaidjanului. Vă reamintesc, însă, că au stat extrem de rezervați Putin și Erdogan, cei ce sunt considerați tutorii geopolitici ai celor două țări zona despre care vă vorbesc astăzi. Nagorno-Karabah reprezintă granița de sud-est a Europei, nu este deloc îndepărtată de noi, e chiar aproape de malul opus al Mării Negre zona Nagorno-Karabah, Azerbaidjan-Armenia, fiind încadrată de, atenție, Iran, Turcia și Rusia, sigur, cu intermediara Georgia. Vă puteți închipui, așadar, cât de fierbinte este situația de război doar privind harta, iar evenimentele și bombardamentele recente, ultimele chiar astăzi, vă sugerează clar că sunt legate de conflictul mai mare ce implică NATO și Rusia. Ce este Nagorno-Karabah? Este o regiune din sud-vestul Azerbaidjanului, care, prieteni, și-a votat despărțirea printr-un referendum de Republica Sovietică Socialistă Azerbaidjan în favoarea Armeniei încă din 1988, ceea ce l-a pus în mare dificultate în acele vremuri pe Gorbaciov. Regiunea și atunci era populată majoritar de armeni, dar existau și mulți azeri. De atunci au început luptele și violențele, deci avem peste 35 de ani de conflict înghețat sau dezghețat, după cum s-a văzut în ultimele zile. În acele vremuri la care am făcut referire, cât timp exista URSS, a urmat un război de doi ani, trupele sovietice au intrat în țară, au murit zeci de mii de oameni, iar circa un milion în total au fost strămutați, fie că erau azeri, fie că erau armeni. Astfel, Nagorno-Karabah a devenit un soi de republică separatistă, dar este o enclavă, a rămas populată astăzi de circa 120 de mii de armeni și probabil că mai sunt și armeni pe acolo, dar puțini, probabil că vreo 10-15 mii, și este aflată, însă, sub jurisdicția Azerbaidjanului, nefiind recunoscută de către nimeni în lume, nici măcar de către Armenia. De peste 35 de ani, miza oricărui președinte armean a fost să ia înapoi Nagorno-Karabah, respectiv a oricărui președinte azerbaidjan, de obicei clanul Aliyev, să o păstreze pentru Azerbaidjan. Deci centrul politicii externe al celor două țări este legat de Nagorno-Karabah. Cel care pierde această miză este spulberat pur și simplu de la putere. Cam așa este situația. Azerii beneficiază astăzi de protecția de toate felurile, inclusiv militară, a fratelui turc, deci a Turciei, pentru că ei sunt musulmani, respectiv Armenia a beneficiat o lungă perioadă de protecția Rusiei, armenii fiind ortodocși. Rusia, însă, a dezvoltat tot timpul relații strategico-frățești și cu regimul azer al lui Aliyev; în același timp vă spun că Turcia și Rusia au o relație strategică mult întărită în ultimii ani. Președintele Armeniei a făcut un pas greșit săptămânile trecute, excedat de aceste jocuri care veneau împotriva intereselor țării sale și dezavantajau Armenia și a început să semnalizeze public pro-Statele Unite ale Americii, o fi fost păcălit sau nu, vom vedea, în condițiile în care, repet, Armenia are granițe sudice cu Turcia și mai ales cu Iranul. Ce înseamnă dezghețarea conflictului și bombardamentele azerilor asupra Nagorno-Karabah, care este populat de armeni? Vă spun eu, ca să pricepeți mizele: înseamnă că lui Aliyev, președintele Azerbaidjanului, i s-a spus să facă asta și vă rog să nu vă închipuiți că a venit comanda din altă parte decât din Turcia, în acord în mod clar și cu Rusia. Azerbaidjan, în același timp, este ținut în brațe de către Uniunea Europeană din pricina gazului și petrolului necesar Europei, v-am reamintit la începutul acestei analize cât de tare se păcălesc UE și NATO. Așadar, vă închipuiți cât de mare este perplexitatea începând de ieri și continuând cu ziua de astăzi la Bruxelles, un Bruxelles ce pare net depășit de această miză de război. Mă apropii de (truncated)",,,,,,,,,-1.12
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50570,106384,2023-09-20 15:40:27 EET,2023-09-20,15:40:27,YouTube,102,83,6,12,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/635049545281832,Comaroni: Musk și Carlson sunt marionetele populare ale potentaților lumii. Rolul lor este să manipuleze opinia publică mondială! ,https://m.youtube.com/watch?v=ODiYuhSnAWM&feature=youtu.be,https://www.youtube.com/watch?v=ODiYuhSnAWM,,Comaroni: Musk și Carlson sunt marionetele populare ale potentaților lumii,Comaroni: Musk și Carlson sunt marionetele populare ale potentaților lumii. Rolul lor este să manipuleze opinia publică mondială!,,,,-3.11
