Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,427587,684837,2023-10-01 18:57:14 EET,2023-10-01,18:57:14,Live Video Complete,"15,503",4068,4081,5537,1699,5,28,6,11,68,owned,Yes,41820,51312,0,01:35:44,https://www.facebook.com/100044414259997/posts/336240692112293,DIANA SOSOACA DEZVALUIRI FULMINANTE DUPA VIZITA DIN PARLAMENTUL SERBIEI!,https://www.facebook.com/LuisLazarusZeusTV/videos/336240692112293/,,,DIANA SOSOACA DEZVALUIRI FULMINANTE DUPA VIZITA DIN PARLAMENTUL SERBIEI!,,,,,1.56
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,145874,163158,2023-09-30 09:30:04 EET,2023-09-30,09:30:04,Native Video,"12,903",6579,367,4502,27,111,14,697,555,51,owned,Yes,86723,111379,0,00:04:12,https://www.facebook.com/100077736491457/posts/339602818640932,"Pregătiți-vă pentru fericirea celui care nu mai are nimic, cu excepția datoriilor și a servituților.",https://www.facebook.com/gheorghe.piperea/videos/1512329682887173/,,,,,,,,6.73
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,36728,92836,2023-09-28 11:28:10 EET,2023-09-28,11:28:10,Native Video,"10,047",4750,308,4435,39,97,18,57,316,27,owned,Yes,95119,116534,0,00:02:04,https://www.facebook.com/100063550934191/posts/816026430525714,ATENȚIE! Circulă o nouă înșelătorie și trebuie să aveți grijă! Avertizați și pe cei din jurul vostru!,https://www.facebook.com/bistriceanudragos/videos/314241134589926/,,,ATENȚIE LA ACEASTĂ ÎNȘELĂTORIE!,,,,,1.48
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,146125,163403,2023-10-01 10:32:36 EET,2023-10-01,10:32:36,Native Video,"3,291",2223,113,847,48,17,8,14,16,5,owned,Yes,12774,14441,0,00:03:33,https://www.facebook.com/100077736491457/posts/340201081914439,"Sorocul pentru anchetarea și condamnarea infracțiunilor comise de autorități și de “eroii din linia întâi” în plandemie vine în 2024-25. Inclusiv pentru furtul, delapidarea și deturnarea celor 100 de miliarde de lei despre care Ciolacu (se preface că) nu știe pe unde au dispărut. Infractorii sunt cunoscuți, faptele nu s-au prescris. Venim după voi, inteligenților.",https://www.facebook.com/gheorghe.piperea/videos/1475785212993589/,,,,,,,,2.13
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8645,29248,2023-09-28 12:27:52 EET,2023-09-28,12:27:52,Live Video Complete,"2,575",1134,461,820,139,3,3,2,3,10,owned,Yes,11302,16215,0,00:54:22,https://www.facebook.com/100085495329227/posts/1800946010336932,Precizari despre contractele educationale. Eu nu le semnez. Voi?,https://www.facebook.com/100085495329227/videos/1800946010336932/,,,Precizari despre contractele educationale. Eu nu le semnez. Voi?,,,,,1.53
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,145604,162890,2023-09-28 06:44:37 EET,2023-09-28,06:44:37,Status,"2,191",1338,86,362,4,20,14,156,204,7,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/338307668770447,"România este atât de înstărită încât a achizițonat 48 de doze de F - 35 eficiente 100%. Pentru primele 32 de doze au fost angajate deja 6,5 miliarde de dolari. Asta se adaugă la dozele de Patriot, și alea eficiente 100%, pentru care s-au achitat deja 6 miliarde de dolari. Din două lovituri, 12,5 miliarde de dolari 100% țintite și capturate*. Patrioatele, vechi de 40 de ani, încă nu au fost livrate. F - 35 - urile vor fi livrate peste 6 ani, după ce va fi intrat în circulație modelul noii doze. Cred că se va numi Farmazon - 136. Așadar, ne imunizăm contra rusului, dar nu acum. Sunt sigur că rușii, la rugămintea vulpească, mieroasă, a domnului Ciolacu, vor amâna invazia până la livrarea dozelor 100% eficiente mai sus evocate. De fapt, mai convingătoare va fi noua deviză manelist-trapistă, “nu mai merge cu șmechereala”. În rest, așa cum înțelept spune premierul, “niciun om de rând nu va avea de suferit” de pe urma măsurilor fiscale revoluționare impuse prin blitz krieg - ul din Parlament. De exemplu, omul de rând nu va mai consuma periculoasele produse bio sau tradițional - românești, care se vor scumpi imediat cu 14% (prin creșterea tva-ului aferent de la 5 la 19%). Într-adevăr, omul de rând va continua să se alimenteze cu mâncare de plastic și băuturi bune mai ales la dezinfectat toaleta, din Kaufland, unde e ieftin și sigur. De exemplu, omul de rând din construcții, care din octombrie va avea cu 60 de lei lunar mai puțini bani din salariu, ca urmare a legii austerității, nu va avea de suferit… Ce contează 60 de lei amărâți când noi avem 12,5 mld dolari de dat americanilor și 1,2 mld euro celor din big pharma, pentru doze de “imunizare”? *Te și întrebi de ce a fost nevoie de PNRR (care e, cică, pentru redresare, adică pentru ieșirea insolvență) și, mai ales, de legea “austerității” fiscale. De ce să chinui economia și, mai ales IMM-urile și clasa de mijloc, dacă ai atâția bani de aruncat pe fereastră?",,,,,,,,,1.19
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,145766,163047,2023-09-29 13:23:20 EET,2023-09-29,13:23:20,Status,"1,271",952,44,241,5,10,3,3,13,0,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/339123765355504,"Unii dintre noi își mai amintesc că guvernul plandemic a miluit* cu câteva sute de milioane de lei presa “ne-conspiraționistă” și “ne-populistă” pentru a zice de bine despre apriga luptă contra “acestui virus nenorocit” și de rău de conspiraționiști (de fapt, pentru a-i trimite în mod repetat și obsesiv la ATI sau la pușcărie). Ce nu știți e că acești bani au fost dați pe contract. Îți plătesc, prestezi, cam așa sună biznisul. Ce nu știți, de asemenea, este că acest contract este titlu executoriu în el însuși, deci poate fi executat silit fără judecată și chiar poate fi motiv de insolvență a debitorului. Adică, a presei miluite. Cu un asemenea ciocan de-asupra capului nu poți să NU te supui. Nu poți să NU fii captivul perfect al creditorului, adică al guvernului plandemic. Sper că se vede acum sursa reală a nenorocirii de comunicare nocivă și liberticidă care ne-a fost băgată pe gât în plandemie. Iată și de ce trebuia să fie inventați inamicii publici; conspiraționiștii, negaționiștii, deviaționiștii. Unii au folosit chiar termenul de “teroriști” pentru a-i desemna pe noii dușmani ai poporului. Vedetele și starletele de presă au fost niște idioți utili ai lui Arahat & co, dar destul de eficienți: lumea s-a panicat și a crezut toate porcăriile pseudo-științifice ale organelor plandemice. PS Unele publicații, tv și radio sunt azi în executare silită pe motiv că nu și-au respectat obligațiile față de guvern. Și în insolvență. *se potrivește de minune și mituit",,,,,,,,,-1.36
Oana-Elena Lovin,OanaLov369,100053585390813,COMEDIAN,RO,Să râdem ca să nu plângem,2019-11-29 11:49:44,50782,81495,2023-09-28 19:58:21 EET,2023-09-28,19:58:21,Status,"1,153",440,223,36,7,15,422,2,1,7,,-,0,0,0,N/A,https://www.facebook.com/100053585390813/posts/839385951190910,"Nu vă supăraț’, la întâlnirile one on one cu AUR, primite la achiziționarea cardului de 5000 de lei, trebuie să vin cu pază sau mă violează ăia pe-acolo? Mulțumesc anticipat",,,,,,,,,1.02
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50623,106521,2023-09-30 16:10:19 EET,2023-09-30,16:10:19,Status,"1,036",814,68,118,19,3,1,11,1,1,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/639929288127191,"Filmul despre Arsenie Boca. Nicolae Mărgineanu îl pune la punct pe regizor! ""NICI UN OM NU TREBUIE TRATAT ASTFEL"" Reputatul regizor Nicolae Mărgineanu, fiu de deținut politic și autorul a numeroase opere artistice despre jertfa românilor în perioada comunistă, inclusiv a unui film dedpre viața Sfântului Ardealului - Părintele Arsenie Boca, a adresat următoarea Scrisoare Deschisă figurantului Alexandru Solomon: „Am lucrat împreună, în 1993, la filmul «Privește înainte cu mânie», la care ai semnat imaginea. În 2001, ca producător, te-am ajutat să realizezi docu-drama «Omul cu o mie de ochi», despre reputatul fotograf Iosif Berman. Ți-am urmărit apoi filmele și te-am felicitat pentru «Război pe calea undelor», despre Radio Europa Liberă. Am văzut de curând filmul «Arsenie. Viața de apoi» și am fost profund decepționat. Nu vorbesc despre calitățile tale ca regizor, ci de atitudinea ta blasfematoare față de Părintele Arsenie Boca, față de credincioșii lui și față de Biserica Ortodoxă Română. Am pe birou fotografia Părintelui Arsenie, o am în mașină și o port în suflet. Fac parte dintre cei mulți pe care tu, în filmul tău, îi consideri neevoluați. Mă simt adânc jignit de acest film. Părintele Arsenie Boca este una din cele mai luminoase personalități ale românilor și nu trebuie să fie tratat astfel. Niciun om nu trebuie tratat astfel!!! De unde vine aversiunea ta, dorința ta de batjocură față de un sfânt respectat și iubit de o mulțime mare de credincioși și față de Biserica Ortodoxă Română? Ai fost nedreptățit în România? Nu ai avut condiții să studiezi, să lucrezi ceea ce ai vrut? Ți-au făcut românii vreun rău? Am aflat că ai mers timp de trei ani în pelerinaje pe urmele Părintelui. Numai cu Fundația «Părintele Arsenie Boca» ai mers în 6 pelerinaje cu pelerini adevarați. Ai încercat să-i provoci, dar nu ai reușit decât să le strici dispoziția evlavioasă. Ai dorit să descoperi ceva compromițător sau provocator la adresa Părintelui Arsenie și nu ai reușit să găsești nimic care să folosească intenției tale. Și atunci ce ai făcut? Ai apelat la câteva agenții de casting ca să alegi figuranți care să interpreteze grupul tău de «pelerini», cu care să faci propriul tău «pelerinaj». Ce ușor e să manipulezi figuranții plătiți de tine, care fac ceea ce le ceri tu! E ușor să le iei interviuri și să-i lași să spună ce le trece prin minte despre Părintele Arsenie, pentru ca apoi să alegi cu grijă ce vei selecta în film. Însoțit de mașina cu costume, i-ai costumat în călugări, în maici, le-ai pus măști de lupi sau de oi, ca să pară din comuna primitivă, ba chiar pe unul dintre ei l-ai costumat în Părintele Arsenie Boca, pentru a-l ridiculiza pe sfânt. Alegerea citatelor din dosarele Securității despre Părinte și punerea lor în discuție cu acești bieți figuranți, nepregătiți pentru un asemenea dialog, fragmentele din emisiuni TV amatoare de senzațional, interviurile cu figuranții, în care le oferi șansa să-l defăimeze pe Părintele Arsenie – toate acestea construiesc o minciună prezentată cu nerușinare ca adevăr. Prezinți acești figuranți ca și cum ar fi pelerini adevărați și îi excluzi din film pe adevarații pelerini! Prezența acestor falși credincioși este o minciună și o blasfemie la adresa românilor. S-au scris în ultimii ani câteva cărți memorabile despre Părintele Arsenie Boca, despre darurile sale duhovnicești, despre caracterul lui neclintit și rezistența sa exemplară în perioada prigoanei comuniste, despre prezența sa în dosarele Securității, cărți foarte bine documentate, care au făcut lumină asupra vieții Parintelui. Oare nu ar fi trebuit să te documentezi înainte de a te apuca de un astfel de film? Le desconsideri pe toate și arunci cu gunoi în semenii tăi fără să ai un motiv întemeiat. Întregul film este o blasfemie pentru orice creștin. Un sfânt rămâne însă un sfânt, oricâte lături ar arunca vreun răuvoitor. Să împroști cu noroi e ușor. Mai greu e SĂ FII OM! Nicolae Mărgineanu, regizor”",,,,,,,,,2.88
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,48460,68802,2023-09-28 12:00:18 EET,2023-09-28,12:00:18,Live Video Complete,992,417,405,81,77,0,3,2,3,4,owned,Yes,7072,7178,0,02:31:08,https://www.facebook.com/100063623349419/posts/616570317352219,"28.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/616570317352219/,,,"28.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,2.44
